127.0.0.1 - - [19/Feb/2019:16:45:22 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:23 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:23 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:23 -0800] "GET /cs122b-project/page/login.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:23 -0800] "GET /cs122b-project/css/login.css HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:23 -0800] "GET /cs122b-project/js/login.js HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:24 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "POST /cs122b-project/api/login HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:48 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:45:49 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:22 -0800] "GET /cs122b-project/page/searchResult.html?browseType=genre&category=ctxxx HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:22 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:22 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:22 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=ctxxx&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:31 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:31 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:32 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:32 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:32 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:32 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:32 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:32 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:36 -0800] "GET /cs122b-project/page/searchResult.html?browseType=genre&category=Action HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:36 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:36 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:37 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=Action&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 16057
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:41 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:42 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:42 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:42 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:42 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:49 -0800] "GET /cs122b-project/page/searchResult.html?browseType=genre&category=ctxx HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:49 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:49 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:46:49 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=ctxx&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:49:58 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
