127.0.0.1 - - [03/Mar/2019:11:32:54 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:32:56 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:32:56 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:32:56 -0800] "GET /cs122b-project/page/login.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:32:56 -0800] "GET /cs122b-project/css/login.css HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:32:56 -0800] "GET /cs122b-project/js/login.js HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:32:57 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "POST /cs122b-project/api/login HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/css/textSearch.css HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:17 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:18 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:30 -0800] "GET /cs122b-project/api/search?title=a&year=&star=&director= HTTP/1.1" 200 13856
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:30 -0800] "GET /cs122b-project/page/aSearchResult.html?title=a&&year=&&star=&&director= HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:30 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:30 -0800] "GET /cs122b-project/js/aSearch.js HTTP/1.1" 200 10912
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:33 -0800] "GET /cs122b-project/api/search?title=a&year=&director=&star=&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 13856
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:40 -0800] "GET /cs122b-project/page/aSearchResult.html?title=a&year=&director=&star=&sequenceBase=title&ascOrDes=asc&limit=20&offset=20 HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:40 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:40 -0800] "GET /cs122b-project/js/aSearch.js HTTP/1.1" 200 10912
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:43 -0800] "GET /cs122b-project/api/search?title=a&year=&director=&star=&sequenceBase=title&ascOrDes=asc&limit=20&offset=20 HTTP/1.1" 200 14268
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:46 -0800] "GET /cs122b-project/page/aSearchResult.html?title=a&year=&director=&star=&sequenceBase=title&ascOrDes=asc&limit=20&offset=40 HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:46 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:46 -0800] "GET /cs122b-project/js/aSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:33:50 -0800] "GET /cs122b-project/api/search?title=a&year=&director=&star=&sequenceBase=title&ascOrDes=asc&limit=20&offset=40 HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/css/textSearch.css HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:05 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:06 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:06 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:06 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:08 -0800] "GET /cs122b-project/api/fullTextSearch?query=asa HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:15 -0800] "GET /cs122b-project/page/textSearchResult.html?query=a&&offset=10 HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:15 -0800] "GET /cs122b-project/js/textSearchResult.js HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:15 -0800] "GET /cs122b-project/api/fullTextSearch?query=a&&offset=10 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:28 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9355
